Codigo do Investidor,Data de Adesao,Estado Civil,Genero,Profissao,Idade,UF do Investidor,Cidade do Investidor,Pais do Investidor,Situacao da Conta,Operou 12 Meses
1021086,23/07/2019,Desquitado(a),M,"VENDEDOR PRACISTA, REPRESENTANTE COMERCIAL, CAIXEIRO VIAJANTE",43,SP,VOTUPORANGA,BRASIL,D,N
1012080,02/06/2016,Divorciado(a),M,SERVIDOR PÚBLICO FEDERAL,41,RS,PELOTAS,BRASIL,A,N
1012087,16/02/2017,Solteiro(a),M,ANALISTA DE SISTEMAS,41,ES,CARIACICA,BRASIL,D,N
1018840,08/03/2016,Solteiro(a),F,ADMINISTRADOR,29,SP,SAO CAETANO DO SUL,BRASIL,A,N
1018889,19/08/2021,Desquitado(a),M,OUTROS,43,MG,BELO HORIZONTE,BRASIL,A,S
1015740,20/07/2018,Desquitado(a),M,CHEFE INTERMEDIÁRIO,48,SP,MARILIA,BRASIL,A,N
1019650,08/03/2016,Desquitado(a),F,BANCARIO E ECONOMIÁRIO,45,RJ,RIO DE JANEIRO,BRASIL,A,S
1018185,05/01/2024,Desquitado(a),F,CONTADOR,34,SP,OSASCO,BRASIL,A,S
1018260,24/08/2022,Desquitado(a),M,SERVIDO PÚBLICO ESTADUAL,50,SP,SAO PAULO,BRASIL,A,N
1018440,08/11/2022,Divorciado(a),M,GEÓLOGO,68,RJ,RIO DE JANEIRO,BRASIL,A,N
968227,23/09/2019,Desquitado(a),M,ANALISTA DE SISTEMAS,56,SP,SAO PAULO,BRASIL,A,S
968587,14/01/2019,Solteiro(a),M,ADMINISTRADOR,59,PB,SOUSA,BRASIL,A,N
964242,30/08/2021,Solteiro(a),F,OUTROS,40,SP,SAO PAULO,BRASIL,A,N
969874,12/09/2023,Desquitado(a),M,ANALISTA DE SISTEMAS,36,PR,CURITIBA,BRASIL,A,N
964378,08/02/2017,Solteiro(a),M,ENGENHEIRO,34,PI,TERESINA,BRASIL,D,N
970122,17/08/2017,Desquitado(a),M,TRABALHADOR METALÚRGICO E SIDERÚRGICO,39,MG,CORONEL FABRICIANO,BRASIL,D,N
964667,23/05/2017,Desquitado(a),M,PSICÓLOGO,49,SP,SAO PAULO,BRASIL,D,N
959558,25/01/2016,Desquitado(a),M,MÉDICO,44,DF,BRASILIA,BRASIL,A,S
962806,16/10/2024,Divorciado(a),M,ANALISTA DE SISTEMAS,37,SP,OSASCO,BRASIL,A,N
965429,09/01/2018,Solteiro(a),F,ADMINISTRADOR,52,SP,SAO PAULO,BRASIL,A,S
967829,20/03/2017,Desquitado(a),M,OUTROS,31,SC,ITAJAI,BRASIL,A,N
957414,22/01/2016,Solteiro(a),M,OUTROS,44,RJ,RESENDE,BRASIL,D,N
957592,15/02/2023,Desquitado(a),M,SERVIDO PÚBLICO ESTADUAL,39,DF,BRASILIA,BRASIL,A,S
957709,20/04/2021,Divorciado(a),F,FONOAUDIÓLOGO,51,SP,SAO BERNARDO DO CAMPO,BRASIL,A,S
957738,08/03/2016,Desquitado(a),M,ODONTÓLOGO E DENTISTA,40,RJ,RIO DE JANEIRO,BRASIL,A,S
950097,03/10/2023,Casado(a) com brasileiro(a) naturalizado(a),M,QUIMICO,43,SP,SAO PAULO,BRASIL,A,S
950462,14/11/2017,Solteiro(a),M,ENGENHEIRO,50,RJ,ITABORAI,BRASIL,A,N
955918,21/01/2016,Desquitado(a),M,ADMINISTRADOR,46,GO,GOIANIA,BRASIL,A,S
947774,06/03/2019,Solteiro(a),M,PUBLICITÁRIO,30,RJ,RIO DE JANEIRO,BRASIL,D,N
948658,04/06/2018,Desquitado(a),M,"MECANICO DE MANUTENÇÃO, MONTADOR, PREPARADOR, OPERADOR",46,SC,JARAGUA DO SUL,BRASIL,A,S
14728969,29/05/2024,Solteiro(a),M,OUTROS,21,PR,CURITIBA,BRASIL,A,S
14685637,01/01/1900,Solteiro(a),M,QUIMICO,24,SP,LENCOIS PAULISTA,BRASIL,A,S
3073956,02/04/2018,Solteiro(a),M,OUTROS TRABALHADORES DE NÍVEL SUPERIOR LIGADOS AO ENSINO,35,RJ,MACAE,BRASIL,D,N
3043188,01/04/2022,Solteiro(a),F,ENGENHEIRO,38,PA,MARABA,BRASIL,A,S
3056590,02/12/2024,Solteiro(a),F,ESTUDANTE,26,PR,CURITIBA,BRASIL,A,N
3061920,28/03/2018,Casado(a) com brasileiro(a) nato(a),F,SECURITÁRIO,48,SP,SAO PAULO,BRASIL,A,S
3067288,29/03/2018,Solteiro(a),M,TRABALHADOR AUTÔNOMO,40,SP,SAO PAULO,BRASIL,A,N
3062314,31/03/2023,Desquitado(a),M,TÉCNICO DE MECÂNICA,43,PR,CURITIBA,BRASIL,A,S
