Codigo do Investidor,Data da Operacao,Tipo Titulo,Vencimento do Titulo,Quantidade,Valor do Titulo,Valor da Operacao,Tipo da Operacao,Canal da Operacao
30505840,28/06/2023,Tesouro Prefixado,01/01/2025,"0,57","852,75","486,06",V,H
5863659,01/06/2023,Tesouro IPCA+,15/05/2045,"0,06","1179,38","70,76",V,H
2709549,16/06/2023,Tesouro IPCA+,15/05/2045,"0,75","1247,70","935,77",C,H
3567373,01/06/2023,Tesouro Prefixado com Juros Semestrais,01/01/2033,"2,08","959,78","1996,34",C,H
42265249,01/06/2023,Tesouro Selic,01/03/2026,"0,38","0,00","5045,46",C,H
13345941,20/06/2023,Tesouro Selic,01/03/2029,"0,01","0,00","132,62",C,H
11240114,20/06/2023,NTN-B1,15/12/2049,"0,06","1787,70","107,26",C,H
346687,14/06/2023,Tesouro IPCA+,15/05/2045,"14,56","1186,71","17278,49",V,H
139787,15/06/2023,Tesouro Selic,01/03/2025,"0,15","0,00","2004,19",V,H
2862896,22/06/2023,Tesouro IPCA+ com Juros Semestrais,15/05/2035,"0,03","4344,23","130,32",V,H
201798,01/06/2023,Tesouro Selic,01/03/2029,"0,15","0,00","1974,20",V,H
6832660,05/06/2023,Tesouro Selic,01/03/2029,"0,01","0,00","131,83",C,H
6856265,23/06/2023,Tesouro IPCA+,15/05/2035,"1,01","2208,31","2230,39",V,H
21063757,28/06/2023,Tesouro IPCA+,15/08/2026,"0,10","3483,68","348,36",V,H
11490848,20/06/2023,Tesouro Selic,01/09/2024,"0,57","0,00","7629,90",V,H
4692941,06/06/2023,Tesouro Selic,01/03/2026,"0,21","0,00","2792,03",V,H
39201430,02/06/2023,Tesouro Selic,01/03/2026,"0,04","0,00","531,27",V,H
10294778,05/06/2023,Tesouro Selic,01/03/2026,"0,37","0,00","4918,20",C,H
19763286,02/06/2023,Tesouro Prefixado,01/01/2026,"0,02","763,19","15,26",V,H
29723583,12/06/2023,NTN-B1,15/12/2049,"0,06","1782,46","106,94",C,H
17484400,13/06/2023,Tesouro Selic,01/03/2029,"0,03","0,00","396,60",C,H
44467122,22/06/2023,Tesouro Selic,01/03/2029,"1,12","0,00","14871,13",C,H
30078624,30/06/2023,Tesouro Selic,01/03/2026,"0,02","0,00","268,28",V,H
37434395,06/06/2023,Tesouro Selic,01/03/2026,"0,04","0,00","531,96",C,H
2111729,05/06/2023,Tesouro Selic,01/03/2026,"0,53","0,00","7044,99",C,H
3829546,13/06/2023,Tesouro IPCA+ com Juros Semestrais,15/05/2055,"0,05","4433,41","221,67",C,S
333125,01/06/2023,Tesouro Selic,01/03/2029,"0,76","0,00","10002,84",V,H
42376078,12/06/2023,Tesouro IPCA+,15/05/2035,"0,67","2216,01","1484,72",C,H
1969710,12/06/2023,NTN-B1,15/12/2049,"0,02","1782,46","35,64",C,S
8987115,28/06/2023,Tesouro IPCA+ com Juros Semestrais,15/08/2040,"0,05","4455,57","222,77",C,H
493921,06/06/2023,Tesouro Selic,01/03/2025,"1,00","0,00","13319,92",V,H
3982854,19/06/2023,Tesouro IPCA+,15/05/2045,"10,00","1204,92","12049,20",V,H
3385786,12/06/2023,Tesouro Prefixado,01/01/2029,"4,18","562,68","2352,00",C,H
9462770,12/06/2023,Tesouro Selic,01/03/2026,"0,09","0,00","1198,50",V,H
7709951,05/06/2023,Tesouro Selic,01/03/2029,"0,01","0,00","131,75",V,H
33356451,13/06/2023,Tesouro Selic,01/03/2029,"0,77","0,00","10179,63",C,H
19303233,15/06/2023,Tesouro Prefixado,01/01/2026,"0,17","772,64","131,34",C,H
5121706,20/06/2023,Tesouro IPCA+,15/05/2045,"0,03","1240,56","37,21",C,H
42667923,13/06/2023,Tesouro Selic,01/03/2026,"0,01","0,00","133,27",C,H
1231725,02/06/2023,Tesouro Selic,01/03/2029,"0,02","0,00","263,52",C,H
1665745,26/06/2023,Tesouro IPCA+,15/05/2029,"0,16","3064,87","490,37",C,H
1941415,07/06/2023,Tesouro IPCA+,15/05/2029,"0,99","3056,66","3026,09",C,H
1324156,13/06/2023,Tesouro Prefixado,01/01/2029,"0,35","563,75","197,31",C,H
3872782,09/06/2023,Tesouro Prefixado,01/01/2026,"0,04","770,69","30,82",C,H
